,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,213 x 128.8 x 14 mm (8.39 x 5.07 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad-pro.jpg,Li-Po 7650 mAh,,,,,Ulefone Armor Pad Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Yes,18W wired,,Mali-G72 MP3,"2024, April",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 38, 40, 41","LED flash, HDR, panorama",,,About 200 EUR,,"32 MP, f/2.2, (wide), 1/2.8"", 0.8µm",IPS LCD,,,Mediatek MT8788 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"8.0 inches, 185.6 cm2(~67.6% screen-to-body ratio)","48 MP, f/1.8, (wide), 1/2.25"", 0.8µm",,"4.2, A2DP","Wireless FM radio, RDS, recording","USB Type-C 2.0, magnetic connector",,"Available. Released 2024, April",128GB 8GB RAM,,Android 13,,Black,,,,,,560 g (1.23 lb),,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantFlashlight with a dedicated buttonAccessory connector (ulefone endoscope, microscope)",,173.4 x 83.4 x 18.3 mm (6.83 x 3.28 x 0.72 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-16s.jpg,Li-Po 9600 mAh,,,eMMC 5.1,,Ulefone Power Armor 16S,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,18W wired5W reverse wired,,Mali-G57 MP1,"2024, March 14",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes (122-decibel),Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 66","LED flash, HDR, panorama",,,About 60 EUR,,,IPS LCD,,,Unisoc Tiger T616 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.93 inches, 90.7 cm2(~62.8% screen-to-body ratio)","8 MP, f/2.0, (wide), 1.12µm",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (depth)","Available. Released 2024, March 14",128GB 8GB RAM,,Android 13,,Black/Orange,,,,,,406 g (14.32 oz),,"720 x 1440 pixels, 18:9 ratio (~271 ppi density)"
CDMA 800 / 1900,,163.8 x 74.2 x 9 mm (6.45 x 2.92 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-17-pro.jpg,Li-Po 5050 mAh,,,Splash proof,,Ulefone Note 17 Pro,,,No,Ulefone,"HSPA, LTE",,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,33W wired,UFS 2.2,Mali-G57 MC2,"2024, January 25",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 300 EUR,,,"AMOLED, 120Hz, 500 nits (HBM)",,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 111.0 cm2(~91.3% screen-to-body ratio)","32 MP, f/2.5, (wide), 0.7µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Stereo FM radio, RDS, recording",USB Type-C 2.0,"108 MP, f/1.9, (wide), 0.7µm, PDAF5 MP, f/2.2, (macro)","Available. Released 2024, January",256GB 12GB RAM,,Android 13,,"Velvet Black, Pearl White, Amber Orange",,,,,,197.8 g (6.98 oz),Yes,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)"
IP68/IP69K dust/water resistant (up to 2m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,,177.4 x 81.5 x 12.8 mm (6.98 x 3.21 x 0.50 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-23-ultra.jpg,Li-Po 5280 mAh,,,UFS 3.1,,Ulefone Armor 23 Ultra,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE, 5G",,,"50 MP, f/1.7, (wide), 1/1.31"", 1.2µm, PDAF8 MP, (telephoto), 3.2x optical zoom50 MP, f/2.2, 117˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared night vision lights","Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,"120W wired, 60% in 10 min50W wirelessReverse wireless",Emergency SOS via satellite (Bullitt Satellite Connect service),Mali-G77 MC9,"2023, December 21",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,"4K@60fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Dual-LED flash, HDR, panorama",,,€ 399.99 / $ 349.22 / £ 356.98,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 8020 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~75.5% screen-to-body ratio)","50 MP, f/2.3, (wide), 1.0µm",Corning Gorilla Glass Victus,"5.1, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 3.1, OTG",,"Available. Released 2023, December 21",512GB 12GB RAM,,Android 13,,"Elite Black, Umbra Orange",,,"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",€ 399.99,,332 g (11.71 oz),Yes,1080 x 2460 pixels (~396 ppi density)
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-18t-ultra.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 18T Ultra,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Mali-G68 MC4,"2023, October",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5.0"", 1.12µm5 MP, f/2.2, (FLIR thermal camera, Lepton module)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 700 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 7050 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","32 MP, f/2.0, (wide), 1.2µm",Corning Gorilla Glass 5,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, November",512GB 12GB RAM,,"Android 13, upgradable to Android 14",,Black,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
CDMA 800,,175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-18-ultra.jpg,Li-Po 9600 mAh,,,CDMA2000 1x,,Ulefone Power Armor 18 Ultra,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, thermometer",1080p@30fps,"66W wired, 52% in 30 min15W wireless5W wireless reversed","IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",Mali-G68 MC4,"2023, November",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,"108 MP, f/1.9, (wide), 1/1.52"", 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5.0"", 1.12µm8 MP, f/2.2, 119˚ (ultrawide)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71","Hexa-LED flash, HDR, panorama",,,About 500 EUR,,,"IPS LCD, 120Hz",,,Mediatek Dimensity 7050 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~71.4% screen-to-body ratio)","32 MP, f/2.0, (wide), 1.2µm",Corning Gorilla Glass 5,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, November",512GB 12GB RAM,,Android 13,,Black,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6",,,409 g (14.43 oz),,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)750 lumens dedicated flood flashlight",,277.8 x 178 x 14 mm (10.94 x 7.01 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad2.jpg,Li-Po 18600 mAh,,,,,Ulefone Armor Pad 2,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Yes,33W wired5W reverse wired,,Mali-G57 MC2,"2023, October 11",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 240 EUR,,"16 MP, f/2.2, 1/3.09"", 1.12µm",IPS LCD,,,Mediatek Helio G99 (6 nm),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"11.0 inches, 344.4 cm2(~69.6% screen-to-body ratio)","48 MP, f/1.8), 1/2.0"", 0.8µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, October 11",256GB 8GB RAM,,Android 13,,Black/Yellow,,,,,,1018 g (2.24 lb),,"1200 x 2000 pixels, 5:3 ratio (~212 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)1000 lumens dedicated flood flashlight",,181.2 x 87 x 27.5 mm (7.13 x 3.43 x 1.08 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-24.jpg,Li-Po 22000 mAh,,,,,Ulefone Armor 24,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass, gyro",1080p@30fps,66W wired10W reverse wired,,Mali-G57 MC2,"2023, September",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,About 370 EUR,,,"IPS LCD, 120Hz",,,Mediatek MT6781 Helio G96 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.78 inches, 109.2 cm2(~69.2% screen-to-body ratio)","16 MP, f/2.2, (wide), 1.0µm",Corning Gorilla Glass 5,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG","64 MP, f/1.9, (wide), 1/1.7"", 0.8µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lights","Available. Released 2023, September",256GB 12GB RAM,,Android 13,,Black,,,,,,647 g (1.43 lb),Yes,1080 x 2460 pixels (~396 ppi density)
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,157.2 x 76.8 x 14.3 mm (6.19 x 3.02 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x12.jpg,Li-Po 4860 mAh,,,eMMC 5.1,,Ulefone Armor X12,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",Yes,,,PowerVR GE8320,"2023, September",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",LED flash,,,,,"8 MP, f/2.0, (wide), 1.4µm",IPS LCD,,,Mediatek MT6761V/WAB Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.5% screen-to-body ratio)","13 MP, f/2.2, (wide), 1.12µm, PDAF",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2023, September",32GB 3GB RAM,,Android 13 (Go edition),,"Black, Black/Orange, Black/Green",,,,,,257 g (9.07 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
"IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope)",,213 x 128.8 x 14 mm (8.39 x 5.07 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-pad-lite.jpg,"Li-Po 7650 mAh, removable",,,,,Ulefone Armor Pad Lite,,,microSDXC (dedicated slot),Ulefone,,No,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",Yes,10W Wired,,IMG GE8330,"2023, September",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",No cellular connectivity,"Yes, with stereo speakers",No,,N/A,Yes,1080p@30fps,No,,N/A,"LED flash, HDR, panorama",,,,,"5 MP, f/2.0",IPS LCD,,,Mediatek MT8766,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,N/A,"8.0 inches, 185.6 cm2(~67.6% screen-to-body ratio)","13 MP, f/2.2, AF",,"5.2, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG, magnetic connector",,"Available. Released 2023, September",32GB 3GB RAM,,Android 13 (Go edition),,Black,,,,,No,558 g (1.23 lb),,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,176.8 x 84.9 x 15 mm (6.96 x 3.34 x 0.59 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor22-.jpg,Li-Po 6600 mAh,,,,,Ulefone Armor 22,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass, gyro, barometer",1080p@30fps,33W wired,,Mali-G57 MC2,"2023, August 14",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,,,,"IPS LCD, 120Hz",,,Mediatek MT6781 Helio G96 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.58 inches, 104.3 cm2(~69.5% screen-to-body ratio)","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,"5.2, A2DP, LE","Wireless FM radio, RDS, recording",USB Type-C 2.0,"64 MP, f/1.9, (wide), 1/1.7"", 0.8µm, PDAF64 MP, f/1.8, (night vision), 2 infrared night vision lights","Available. Released 2023, August","128GB 8GB RAM, 256GB 8GB RAM",,Android 13,,"Black, Black/Green",,,,,,324 g (11.43 oz),Yes,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,173 x 83 x 13.6 mm (6.81 x 3.27 x 0.54 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x13.jpg,Li-Po 6320 mAh,,,eMMC 5.1,,Ulefone Armor X13,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",Yes,10W wired,,PowerVR GE8320,"2023, August",Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66",LED flash,,,,,,IPS LCD,,,Mediatek Helio G36 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~71.5% screen-to-body ratio)","8 MP, f/2.0, (wide), 1.12µm",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording",USB Type-C 2.0,"50 MP, f/1.8, (wide), 0.64µm, PDAF24 MP, f/1.8, (night vision), 2 infrared night vision lights","Available. Released 2023, August",64GB 6GB RAM,,Android 13,,"Black, Black/Orange",,,,,,300 g (10.58 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,157.2 x 76.8 x 14.3 mm (6.19 x 3.02 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x12-pro.jpg,Li-Po 4860 mAh,,,eMMC 5.1,,Ulefone Armor X12 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity",Yes,10W wired,,PowerVR GE8320,"2023, August",Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",LED flash,,,About 130 EUR,,"8 MP, f/2.0, (wide), 1.4µm",IPS LCD,,,Mediatek Helio G36 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.5% screen-to-body ratio)","13 MP, f/2.2, (wide), 1.12µm, PDAF",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2023, August",64GB 4GB RAM,,Android 13,,"Black, Black/Orange, Black/Green",,,,,,257 g (9.07 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,,158.2 x 76.7 x 19.3 mm (6.23 x 3.02 x 0.76 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-x11.jpg,Li-Po 8150 mAh,,,eMMC 5.1,,Ulefone Power Armor X11,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Accelerometer, proximity, compass",1080p@30fps,10W,,PowerVR GE8320,"2023, June 18",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with dual speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28","Quad-LED flash, HDR, panorama",,,About 140 EUR,,,IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","Wireless FM radio, RDS, recording","USB Type-C 2.0, OTG","16 MP, f/1.8, (wide), 1.12µm, PDAF2 MP, f/2.4, (depth)","Available. Released 2023, June 18",32GB 4GB RAM,,Android 13,,Black,,,,,,330 g (11.64 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
,,157.2 x 75.3 x 8.9 mm (6.19 x 2.96 x 0.35 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-15.jpg,Li-Po 4000 mAh,,,,,Ulefone Note 15,,,microSDXC (dedicated slot),Ulefone,HSPA,,,,"Accelerometer, proximity",720p@30fps,,,Mali-400,"2023, June 18",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,"LED flash, HDR, panorama",,,About 80 EUR,,,IPS LCD,,,Mediatek MT6580A/WVP (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"6.22 inches, 93.4 cm2(~78.9% screen-to-body ratio)",5 MP,,"4.0, A2DP","Stereo FM radio, RDS, recording",USB Type-C 2.0,"8 MP, (wide)2 MP, (depth)","Available. Released 2023, June 18",32GB 2GB RAM,,Android 12 (Go edition),,"Sunset Purple, Diamond Blue, Twilight Black",,,,,,179 g (6.31 oz),,"720 x 1600 pixels, 20:9 ratio (~282 ppi density)"
,,165 x 76.4 x 8.7 mm (6.50 x 3.01 x 0.34 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note16-pro.jpg,Li-Po 4400 mAh,,,,,Ulefone Note 16 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,10W,,Mali-G57 MP1,"2023, May 30",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28, 34, 38, 39, 40, 41, 66","LED flash, HDR, panorama",,,,,,IPS LCD,,,Unisoc T606 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)","8 MP, f/2.0, (wide), 1.12µm",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",USB Type-C 2.0,"50 MP, f/1.8, (wide), 0.64µm, PDAF2 MP, f/2.6, (macro)","Available. Released 2023, May 30","128GB 4GB RAM, 256GB 8GB RAM",,Android 13,,"Midnight Violet, Serenity Blue, Meteorite Black",,,,,,184 g (6.49 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
