,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G9287C,"5 MP, f/1.9, 22mm (wide)",,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow), TouchWiz UI",,,Yes,,Exynos 7420 Octa (14 nm),,Discontinued,HDR,,,,Up to 20 h (3G),,,,,,,Up to 66 h,,,No,15W wiredWireless (Qi/PMA) (market dependent),"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 25, 26, 28, 38, 39, 40, 41 - G9287",,,,About 450 EUR,24-bit/192kHz audio,,,"16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, AF, OIS",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",,,"2015, August. Released 2015, August",GSM / HSPA / LTE,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 28, 40, 41 - G9287C",1.22 W/kg (head)     1.44 W/kg (body),,,Mali-T760MP8,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge-plus.jpg,"5.7 inches, 89.6 cm2(~76.5% screen-to-body ratio)",Samsung Galaxy S6 edge+ Duos,,,,,"GPS, GLONASS, BDS",,"Li-Ion 3000 mAh, non-removable",,"LED flash, auto-HDR, panorama",Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),,0.29 W/kg (head)     0.66 W/kg (body),UFS 2.0,,Nano-SIM + Nano-SIM,,,,,No,Corning Gorilla Glass 4,,154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in),,"32GB 4GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","SM-G9287C, SM-G9287, SM-G928A, SM-G928F",,Yes,"4.2, A2DP, LE, aptX",,,,153 g (5.40 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4K@30fps, 1080p@30fps (gyro-EIS), 1080p@60fps, 720p@120fps, HDR, stereo sound rec., OIS",,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps/ LTE (3CA) Cat9 450/50 Mbps","Glass front (Gorilla Glass 4), glass back (Gorilla Glass 4), aluminum frame",Yes,,,Samsung,,,,"Black Sapphire, Gold Platinum, Silver Titan, White Pearl",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100 - G9287,1440p@30fps,"ANT+S-Voice natural language commands and dictationSamsung Pay (Visa, MasterCard certified)","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2"
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G903W,"5 MP, f/1.9, 23mm (wide)",,"Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",,,Yes,,Exynos 7580 Octa (28 nm),,Discontinued,,,,,Up to 15 h (3G),,,,,,,Up to 73 h,,,FM radio,,"1, 3, 5, 7, 8, 20 - G903F",,,,About 300 EUR,eMMC 5.0,,,"16 MP, f/1.9, 31mm (standard), AF",,GSM 850 / 900 / 1800 / 1900,"1080 x 1920 pixels, 16:9 ratio (~432 ppi density)",,,"2015, August. Released 2015, August",GSM / HSPA / LTE,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 29 - G903W",1.03 W/kg (head)     1.27 W/kg (body),,,Mali-T720MP2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s5-neo.jpg,"5.1 inches, 71.7 cm2(~69.6% screen-to-body ratio)",Samsung Galaxy S5 Neo,,,,,"GPS, GLONASS",,"Li-Ion 2800 mAh, removable",,"LED flash, panorama, HDR",Octa-core 1.6 GHz Cortex-A53,,0.46 W/kg (head)     0.58 W/kg (body),IP67 dust/water resistant (up to 1m for 30 min),,Micro-SIM,,,,,microSDXC (dedicated slot),,,142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in),,16GB 2GB RAM,"microUSB 2.0, OTG","SM-G903F, SM-G903W, SM-G903M, SM-S903VL",,Yes,"4.1, A2DP, EDR, LE",,,,145 g (5.11 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",,Yes,,,Samsung,,,,"Black, Gray, Gold",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100 - G903F,1080p@30fps,ANT+S-Voice,"Accelerometer, gyro, proximity, compass, heart rate"
eMMC 4.5,1.9 MP,,Android 4.4.4 (KitKat),,,Yes,,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,,,,,Up to 14 h (3G),,,,,,,Up to 55 h,,,FM radio,,"1, 3, 5, 7, 8, 20",,,,About 190 EUR,,,,"8 MP, AF",,GSM 850 / 900 / 1800 / 1900,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",,,"2015, June. Released 2015, June",GSM / HSPA / LTE,,0.98 W/kg (head)     1.23 W/kg (body),,,Adreno 306,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s4-mini-plus-gt-i9195i.jpg,"4.3 inches, 51.0 cm2(~66.7% screen-to-body ratio)",Samsung Galaxy S4 mini I9195I,,,,,"GPS, GLONASS, BDS",,"Li-Ion 1900 mAh, removable",,"LED flash, HDR, panorama",Quad-core 1.2 GHz Cortex-A53,,0.68 W/kg (head)     0.50 W/kg (body),,,Micro-SIM,,Yes,,,microSDXC (dedicated slot),To be confirmed,,124.6 x 61.3 x 8.9 mm (4.91 x 2.41 x 0.35 in),,8GB 1.5GB RAM,microUSB 2.0,GT-I9195,,Yes,"4.0, A2DP, EDR, LE, aptX",,,,107 g (3.77 oz),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Yes,,,Samsung,,,,"White Frost, Black Mist",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, gyro, proximity, compass"
,2 MP,,Android 5.1 (Lollipop),,,Yes,,,,Discontinued,,,,,Up to 10 h (3G),,,,,,,Up to 32 h,,,No,,"1, 3, 5",,,,About 250 EUR,,,,"8 MP, AF",,GSM 900 / 1800 / 1900,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",,,"2015, July. Released 2015, July",GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-folder-SM-G150.jpg,"3.8 inches, 41.1 cm2(~56.0% screen-to-body ratio)",Samsung Galaxy Folder,,,,,"GPS, GLONASS",,"Li-Ion 1800 mAh, removable",,,Quad-core 1.2 GHz,,,,,Micro-SIM,,,,,microSDXC (dedicated slot),,,122 x 60.2 x 15.3 mm (4.80 x 2.37 x 0.60 in),,8GB 1.5GB RAM,microUSB 2.0,"SM-G150N0, SM-G150NS, SM-G150NK",,Yes,"4.1, A2DP",,,,155 g (5.47 oz),"Wi-Fi 802.11 b/g/n, hotspot",1080p@30fps,,"HSPA, LTE",,No,,,Samsung,,,,"Black, White",TFT,,,HSDPA 850 / 1900 / 2100,,,"Accelerometer, proximity"
eMMC 5.0 or eMMC 5.1,2.1 MP,,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T810, T815Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T813N, T819N",,,Yes,,"Exynos 5433 - T810, T815Qualcomm MSM8976 Snapdragon 652 (28 nm) - T813N, T819N",,Discontinued,,,,,Up to 12 h (multimedia) (2G) / Up to 30 h (3G),,,,,,,Up to 109 h,,,No,,"1, 2, 3, 4, 5, 7, 8, 17, 20",,,,About 270 EUR,,,,"8 MP, AF",,GSM 850 / 900 / 1800 / 1900,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",,,"2015, July. Released 2015, September",GSM / HSPA / LTE,ANT+,,,,"Mali-T760 MP6 - T810, T815Adreno 510 - T813N, T819N",,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s2-97.jpg,"9.7 inches, 291.4 cm2(~72.7% screen-to-body ratio)",Samsung Galaxy Tab S2 9.7,,,,,"GPS, GLONASS - cellular model only",,"Li-Ion 5870 mAh, non-removable",,,"Octa-core (4x1.9 GHz & 4x1.3 GHz) - T810, T815Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T813N, T819N",,0.86 W/kg (body),,,Nano-SIM (cellular model only),,,,,microSDXC (dedicated slot),,,237.3 x 169 x 5.6 mm (9.34 x 6.65 x 0.22 in),,"32GB 3GB RAM, 64GB 3GB RAM",microUSB 2.0 (MHL TV-out),"SM-T810, SM-T815, SM-T813N, SM-T819N, SM-T819, SM-T813, SM-T815Y, SM-T819Y",,Yes,"4.1, A2DP, LE",,,,389g (Wi-Fi) / 392g (LTE) (13.72 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1440p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only",,No,,,Samsung,,,,"White, black, gold",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,,,"Fingerprint (front-mounted), accelerometer, gyro, compass"
eMMC 5.0 or eMMC 5.1,2.1 MP,,"Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T710, T715Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T719N",,,Yes,,"Exynos 5433 - T710, T715Qualcomm MSM8976 Snapdragon 652 (28 nm) - T719N",,Discontinued,,,,,Up to 27 h (3G),,,,,,,Up to 74 h,,,No,,"1, 2, 3, 4, 5, 7, 8, 17, 20",,,,About 290 EUR,,,,"8 MP, AF",,GSM 850 / 900 / 1800 / 1900,"1536 x 2048 pixels, 4:3 ratio (~320 ppi density)",,,"2015, July. Released 2015, September",GSM / HSPA / LTE,ANT+,0.96 W/kg (head)     1.59 W/kg (body),,,"Mali-T760 MP6 - T710, T715Adreno 510 - T719N",,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s2-80r1.jpg,"8.0 inches, 198.2 cm2(~74.0% screen-to-body ratio)",Samsung Galaxy Tab S2 8.0,,,,,"GPS, GLONASS - cellular model only",,"Li-Ion 4000 mAh, non-removable",,,"Octa-core (4x1.9 GHz & 4x1.3 GHz) - T710, T715Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T719N",,0.34 W/kg (head)     0.47 W/kg (body),,,Nano-SIM (cellular model only),,,,,microSDXC (dedicated slot),,,198.6 x 134.8 x 5.6 mm (7.82 x 5.31 x 0.22 in),,"32GB 3GB RAM, 64GB 3GB RAM",microUSB 2.0 (MHL TV-out),"SM-T715, SM-T710, SM-T719N, SM-T719, SM-T715Y, SM-T719Y, SM-T713",,Yes,"4.1, A2DP, LE",,,,265 g (Wi-Fi) / 272 g (LTE) (9.35 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1440p@30fps,,"HSPA, LTE - cellular model only",,No,,,Samsung,,,,"White, black gold",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass"
"3, 8, 28 - A800Y","5 MP, f/1.9, 23mm (wide)",,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",,,Yes,Voice 66dB / Noise 66dB / Ring 75dB,Qualcomm MSM8939 Snapdragon 615 (28 nm) - A800YExynos 5430 Octa (20 nm) - A800F,,Discontinued,,"Contrast ratio: Infinite (nominal),  3.859 (sunlight)",,,Up to 17 h (3G),,,,,,,Up to 51 h,,,"FM radio, RDS, recording",,"1, 3, 5, 7, 8, 20, 40 - A800F",,,,About 280 EUR,,,,"16 MP, f/1.9, 31mm (standard), AF",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",,,"2015, August. Released 2015, August",GSM / HSPA / LTE,eMMC 5.0 or eMMC 4.5,,,,Adreno 405 - A800YMali-T628 MP6 - A800F,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-ds.jpg,"5.7 inches, 89.6 cm2(~73.8% screen-to-body ratio)",Samsung Galaxy A8 Duos,,,,,"GPS, GLONASS/ BDS (market dependant)",,"Li-Ion 3050 mAh, non-removable",,"LED flash, panorama, HDR",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53) - A800YOcta-core (4x1.8 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7) - A800F,,0.32 W/kg (head)     0.55 W/kg (body),ANT+,,Nano-SIM + Nano-SIM,,,Endurance rating 98h,,microSDXC (uses shared SIM slot),Corning Gorilla Glass 4,,158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),,32GB 2GB RAM,microUSB 2.0,"SM-A8000, SM-A800F, SM-A800Y, SM-A800I, SM-A800IZ, SM-A800S, SM-A800YZ",,Yes,"4.1, A2DP, EDR, LE",,,,151 g (5.33 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",,No,,,Samsung,,,Noise -89.3dB / Crosstalk -53.8dB,"Pearl White, Midnight Black, Champagne Gold",Super AMOLED,Basemark OS II 2.0: 1089Basemark X: 8838,,"HSDPA 850 / 900 / 1900 / 2100 - A800F, A800Y",1080p@30fps,,"Fingerprint (front-mounted), accelerometer, proximity, compass"
eMMC 4.5,"5 MP, f/1.9, 23mm (wide)",,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",,,Yes,Voice 66dB / Noise 66dB / Ring 75dB,Qualcomm MSM8939 Snapdragon 615 (28 nm),,Discontinued,,"Contrast ratio: Infinite (nominal),  3.859 (sunlight)",,,Up to 17 h (3G),,,,,,,Up to 51 h,,,"FM radio, RDS, recording",,"1, 3, 5, 7, 8, 20",Photo/Video,,,About 250 EUR,,,,"16 MP, f/1.9, 31mm (standard), AF",,GSM 850 / 900 / 1800 / 1900,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",,,"2015, July. Released 2015, August",GSM / HSPA / LTE,ANT+,,,,Adreno 405,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a8-.jpg,"5.7 inches, 89.6 cm2(~73.8% screen-to-body ratio)",Samsung Galaxy A8,,,,,"GPS, GLONASS/ BDS (market dependant)",,"Li-Ion 3050 mAh, non-removable",,"LED flash, panorama, HDR",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53),,0.32 W/kg (head)     0.55 W/kg (body),,,Nano-SIM,,,Endurance rating 98h,,microSDXC (dedicated slot),Corning Gorilla Glass 4,,158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),,32GB 2GB RAM,microUSB 2.0,"SM-A8000, SM-A800F",,Yes,"4.1, A2DP, EDR, LE",,,,151 g (5.33 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","Glass front (Gorilla Glass 4), plastic back, aluminum frame",Yes,,,Samsung,,,Noise -89.3dB / Crosstalk -53.8dB,"Pearl White, Midnight Black, Champagne Gold",Super AMOLED,Basemark OS II 2.0: 1089Basemark X: 8838,,HSDPA 850 / 900 / 1900 / 2100,1080p@30fps,,"Fingerprint (front-mounted), accelerometer, proximity, compass"
0,,,Android 4.4.2 (KitKat),,,Yes,,,,Discontinued,,,,,Up to 8 h (3G),,,,,,,Up to 35 h,,,FM radio,,,,,,About 70 EUR,,,,3.15 MP,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"2015, July. Released 2015, July",GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-v-plus-sm-g318.jpg,"4.0 inches, 45.5 cm2(~59.6% screen-to-body ratio)",Samsung Galaxy V Plus,,,,,"GPS, GLONASS",,"Li-Ion 1500 mAh, removable",,LED flash,Dual-core 1.2 GHz,,,,,"Dual SIM (Micro-SIM, dual stand-by)",,,,,microSDXC (dedicated slot),,,121.4 x 62.9 x 10.7 mm (4.78 x 2.48 x 0.42 in),,4GB 512MB RAM,microUSB 2.0,"SM-G318HZ, SM-G318H, SM-G318MZ, SM-G318ML",,Yes,"4.0, A2DP",,,,123 g (4.34 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",480p@30fps,,HSPA,"Glass front, plastic back, plastic frame",No,,,Samsung,,,,"White, Black",TFT,,,HSDPA 900 / 2100,,,Accelerometer
eMMC 5.1,"5 MP, f/2.2, 23mm (wide)",,"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie), One UI",,,Yes,,Exynos 7870 Octa (14 nm),,"Available. Released 2017, July",LED flash,,,,,,,,,,,,,,"FM radio, RDS, recording",,"1, 3, 5, 7, 8, 20, 40",,,,About 180 EUR,,,,"13 MP, f/1.9, 28mm (wide), AF",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,"2017, July",GSM / HSPA / LTE,ANT+,0.61 W/kg (head),,,Mali-T830 MP1,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-nxt-sm-j701fds.jpg,"5.5 inches, 83.4 cm2(~69.6% screen-to-body ratio)",Samsung Galaxy J7 Nxt,,,,,"GPS, GLONASS",,"Li-Ion 3000 mAh, removable",,"LED flash, panorama",Octa-core 1.6 GHz Cortex-A53,,0.52 W/kg (head)     1.39 W/kg (body),,,"Dual SIM (Micro-SIM, dual stand-by)",,,,,microSDXC (dedicated slot),,,152.4 x 78.6 x 7.6 mm (6.00 x 3.09 x 0.30 in),,"16GB 2GB RAM, 32GB 3GB RAM",microUSB 2.0,"SM-J701F, SM-J701F, SM-J701M, SM-J701MT",,Yes,"4.1, A2DP, LE",,,,170 g (6.00 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",1080p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Glass front, plastic back, plastic frame",No,,,Samsung,,,,"Black, Gold",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, proximity"
eMMC 5.0 or eMMC 4.5,"5 MP, f/2.2, 23mm (wide)",,"Android 5.1 (Lollipop), upgradable to 7.1.1 (Nougat)",,,Yes,Voice 63dB / Noise 62dB / Ring 66dB,Qualcomm MSM8939 Snapdragon 615 (28 nm)Exynos 7580 Octa (28 nm),,Discontinued,LED flash,"Contrast ratio: Infinite (nominal),  3.879 (sunlight)",,,Up to 18 h (3G),,,,,,,Up to 76 h,,,"FM radio, RDS, recording",,"1, 3, 5, 7, 8, 20, 40",Photo/Video,,,About 200 EUR,,,,"13 MP, f/1.9, 28mm (wide), AF",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,"2015, June 19. Released 2015, July 16",GSM / HSPA / LTE,ANT+,1.25 W/kg (head)     1.36 W/kg (body),,,Adreno 405Mali-T720MP2,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-j700f.jpg,"5.5 inches, 83.4 cm2(~69.6% screen-to-body ratio)",Samsung Galaxy J7,,,,,"GPS, GLONASS",,"Li-Ion 3000 mAh, removable",,"LED flash, panorama",Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.5 GHz Cortex-A53,,0.50 W/kg (head)     0.37 W/kg (body),,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,Endurance rating 91h,,microSDXC (dedicated slot),,,152.2 x 78.7 x 7.5 mm (5.99 x 3.10 x 0.30 in),,16GB 1.5GB RAM,microUSB 2.0,"SM-J700F, SM-J700H, SM-J700M, SM-J700T, J7, SM-J700T1, SM-J700K, SM-J700P, SM-j7008",,Yes,"4.1, A2DP",,,,171 g (6.03 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 21.1/5.76 MbpsHSPA, LTE Cat4 150/50 Mbps","Glass front, plastic back, plastic frame",Yes (Snapdragon model only),,,Samsung,,,Noise -96.1dB / Crosstalk -73.2dB,"White, Black, Gold",Super AMOLED,Basemark OS II 2.0: 709Basemark X: 3922,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, proximity"
eMMC 4.5,"5 MP, f/2.2, 23mm (wide)",,"Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,,Yes,,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,LED flash,,,,Up to 18 h (3G),,,,,,,Up to 62 h,,,"FM radio, RDS, recording",,"1, 3, 5, 7, 8, 20",,,,About 160 EUR,,,,"13 MP, f/1.9, 28mm (wide), AF",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"2015, June 19. Released 2015, July 28",GSM / HSPA / LTE,ANT+,0.80 W/kg (head)     1.13 W/kg (body),,,Adreno 306,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j5-sm-j500f.jpg,"5.0 inches, 68.9 cm2(~67.5% screen-to-body ratio)",Samsung Galaxy J5,,,,,"GPS, GLONASS, BDS",,"Li-Ion 2600 mAh, removable",,LED flash,Quad-core 1.2 GHz Cortex-A53,,0.61 W/kg (head)     0.48 W/kg (body),,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,microSDXC (dedicated slot),,,142.1 x 71.8 x 7.9 mm (5.59 x 2.83 x 0.31 in),,"8GB 1.5GB RAM, 16GB 1.5GB RAM","microUSB 2.0, OTG","SM-J500F, SM-J500G, SM-J500FN, SM-J500Y, SM-J500M, J500S, SM-J500H, SM-J5007, J5, SM-J500N0, SM-J5008",,Yes,"4.1, A2DP",,,,146 g (5.15 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",1080p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Glass front, plastic back, plastic frame",Yes (market dependent),,,Samsung,,,,"White, Black, Gold",Super AMOLED,,,HSDPA 850 / 900 / 1900 / 2100,,,"Accelerometer, proximity"
eMMC 4.5,1.3 MP,,"Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop)",,,Yes,,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,,,,,,,,,,,,,No,No,No,,,,,,About 280 EUR,,,,3.15 MP,,N/A,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",,,"2015, Q3. Released 2015, Q3",No cellular connectivity,,,,,Adreno 306,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-4-101-2015.jpg,"10.1 inches, 295.8 cm2(~68.9% screen-to-body ratio)",Samsung Galaxy Tab 4 10.1 (2015),,,,,"GPS, GLONASS",,"Li-Po 6800 mAh, non-removable",,,Quad-core 1.2 GHz Cortex-A53,,,,,No,,Yes,,,microSDXC (dedicated slot),,,243.4 x 176.4 x 7.9 mm (9.58 x 6.94 x 0.31 in),,16GB 1.5GB RAM,microUSB 2.0,SM-T533,,"Yes, with stereo speakers","4.0, A2DP",,,,487 g (1.07 lb),"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",720p@30fps,,,,No,,,Samsung,,,,"White, Black",TFT,,,,,,Accelerometer
,"2 MP, f/2.4",,"Android 4.4 (KitKat) - EU modelAndroid 5.1 (Lollipop), upgradable to 7.0 (Nougat) - USA model",,,Yes,,,,Discontinued,,,,,Up to 7 h 30 min (multimedia) (2G) / Up to 26 h (3G),,,,,,,Up to 95 h,,,No,,,,,,About 200 EUR,,,,"5 MP, f/2.2, AF",Up to 12 h (multimedia),GSM 850 / 900 / 1800 / 1900,"800 x 1280 pixels, 16:10 ratio (~157 ppi density)",,,"2015, June. Released 2015, July",GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-e-sm-t561.jpg,"9.6 inches, 267.2 cm2(~73.9% screen-to-body ratio)",Samsung Galaxy Tab E 9.6,,,,,"GPS, GLONASS, BDS - cellular model only",,"Li-Ion 5000 mAh, non-removable",,,Quad-core 1.3 GHzQuad-core 1.2 GHz - USA model,,0.50 W/kg (body),,,Micro-SIM - cellular model only,,,,,microSDXC (dedicated slot),,,241.9 x 149.5 x 8.5 mm (9.52 x 5.89 x 0.33 in),,"8GB 1.5GB RAM, 16GB 1.5GB RAM",microUSB 2.0,"SM-T560, SM-T561, SM-T560NU",,Yes,"4.0, A2DP; 4.1, A2DP - USA model",,,,490 g (Wi-Fi)/ 495 g (3G) (1.08 lb),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspotWi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot - USA model",720p@30fps,,HSPA - cellular model only,"Glass front, plastic back, plastic frame",No,,,Samsung,,,,"Pearl White, Metallic Black",TFT,,,HSDPA 900 / 2100,,,Accelerometer
No,,,,,,Yes,,,Yes,Discontinued,,,,,Up to 10 h,,,,,,,,No,No,FM radio,,,,Up to 800 h,,About 20 EUR,,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,"2015, Q2. Released 2015, Q2",GSM,MP3 playerCalculatorCountdown timerCurrency converter,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-guru-plus.jpg,"1.5 inches, 7.3 cm2(~14.9% screen-to-body ratio)",Samsung Guru Plus,,,Yes,,No,,"Li-Ion 800 mAh, removable",No,,208 MHz,,0.58 W/kg (head)     0.26 W/kg (body),,,"Dual SIM, (Mini-SIM)",,,,,No,,SMS,108 x 45 x 13.2 mm (4.25 x 1.77 x 0.52 in),,4MB RAM,microUSB (charging only),"SM-B110, SM-B110E",,Yes,No,,No,,66 g (2.33 oz),No,,,,,No,,,Samsung,,,,"Black, White, Dark Blue","TFT, 65K colors",,,,,,
