,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
,About 70 EUR,microUSB 2.0,,,Mini-SIM,GSM / HSPA,136.5 g (4.83 oz),,"FM radio, RDS",Mediatek MT6575 (40 nm),,"Li-Ion 1400 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity",,,,VGA,1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2013, September. Released 2013, October",,No,Yes,,,"4.0, A2DP",Black,,Up to 13 h 30 min (2G) / Up to 13 h (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 400 h (2G) / Up to 410 h (3G),,microSDHC (dedicated slot),alcatel Evolve,,"4.0 inches, 45.5 cm2(~58.6% screen-to-body ratio)",,121.5 x 64 x 11.8 mm (4.78 x 2.52 x 0.46 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-evolve.jpg,,,5 MP,,Android 4.1 (Jelly Bean),,4GB 512MB RAM,,,HSDPA 850 / 1700 / 1900 / 2100
GSM 900 / 1800 / 1900,About 130 EUR,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,162 g (5.71 oz),,"Stereo FM radio, RDS",,,"Li-Ion 2000/1900 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity, compass (7041X, 7041D only)",,,,VGA,Quad-core 1.3 GHz,,,,,"2013, September. Released 2014, April",,No,Yes,,Up to 24 h,"4.0, A2DP",Black,,Up to 13 h (2G) / Up to 9 h (3G),"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,HSDPA 900 / 1900 - 7040F,720p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,"HSDPA 850 / 1900 / 2100 - 7040A, 7040E",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 650 h (2G) / Up to 600 h (3G),,microSDHC (dedicated slot),alcatel Pop C7,,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",,141 x 71.8 x 9.9 mm (5.55 x 2.83 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-c7.jpg,,,"5 MP (7040D)5 MP, AF (7041X/7041D)","7040A, 7040F, 7041X, 7040D, 7041D, 7040E",Android 4.2 (Jelly Bean),Oleophobic coating,"4GB 512MB RAM, 1GB RAM (7041X)",,"LED flash (7040A, 7041X, 7041D, 7040F, 7040E)","HSDPA 900 / 2100 - 7040D, 7041D, 7041X"
HSDPA 850 / 1900 / 2100,About 100 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,157 g (5.54 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1800 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity",,,,VGA,Dual-core 1.3 GHz,,,,,"2013, September. Released 2013, December",,No,Yes,,,"4.0, A2DP",White,,Up to 7 h 30 min (2G) / Up to 4 h (3G),"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,480p@30fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 400 h (2G) / Up to 392 h (3G),,microSDHC (dedicated slot),alcatel Pop C5,,"4.5 inches, 55.8 cm2(~62.5% screen-to-body ratio)",,131.5 x 67.9 x 11.5 mm (5.18 x 2.67 x 0.45 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-c5.jpg,,,5 MP,ONE TOUCH 5036A,Android 4.2 (Jelly Bean),,4GB 512MB RAM,,LED flash,HSDPA 900 / 2100
"GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 - 4033D, 4033X",About 80 EUR,microUSB 2.0,0.77 W/kg (head)     0.99 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,110 g (3.88 oz),,"Stereo FM radio, RDS",Mediatek MT6572 (28 nm),,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity",,,,"VGA, 4033A, 4033E only",Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,"2013, September. Released 2014, March",,No,Yes,,Up to 28 h,"4.0, A2DP","Bluish Black, Pure White, Hot Pink",,Up to 13 h 30 min (2G) / Up to 9 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)","GSM 850 / 900 / 1800 / 1900 - 4033A, 4033E",,,,480p@30fps,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,"HSDPA 850 / 1900 / 2100 - 4033A, 4033E",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 510 h (2G) / Up to 410 h (3G),,microSDHC (dedicated slot),alcatel Pop C3,,"4.0 inches, 45.5 cm2(~58.0% screen-to-body ratio)",,122 x 64.4 x 12 mm (4.80 x 2.54 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-c3-new.jpg,,,"5 MP (4033A, 4033E)or3.15 MP (4033X, 4033D)","4033A, 4033X, 4033D, 4033E",Android 4.2 (Jelly Bean),,4GB 512MB RAM,,,"HSDPA 900 / 2100 - 4033D, 4033X"
GSM 900 / 1800 / 1900,About 70 EUR,microUSB 2.0,,,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,100 g (3.53 oz),,"Stereo FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 21.1/5.76 Mbps,,,,,Accelerometer,,,,,Dual-core 1.0 GHz,,,,,"2013, September. Released 2014, March",,No,Yes,,Up to 28 h,"4.0, A2DP","Green, Pink",,Up to 6 h 48 min (2G) / Up to 2 h 48 min (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,No,Yes,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 433 h (2G) / Up to 325 h (3G),,microSDHC (dedicated slot),alcatel Pop C1,,"3.5 inches, 36.5 cm2(~52.3% screen-to-body ratio)",,112.5 x 62 x 12 mm (4.43 x 2.44 x 0.47 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pop-c1-new.jpg,,,2 MP,,Android 4.2 (Jelly Bean),,4GB 512MB RAM,,,HSDPA 900 / 2100
,,"microUSB 2.0, OTG",,No,No,No cellular connectivity,415 g (14.64 oz),No,No,Rockchip RK3066,,"Li-Ion 4160 mAh, non-removable",,,,,,,,,,2 MP,Dual-core 1.6 GHz Cortex-A9,,,,,"2013, September. Released 2014, Q2",,No,Yes,,,3.0,"Black, Silver",,Up to 3 h 30 min,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,Wi-Fi 802.11 b/g/n,Up to 200 h,,microSDXC (dedicated slot),alcatel One Touch Evo 8HD,,"8.0 inches, 198.2 cm2(~58.5% screen-to-body ratio)",,222 x 152.5 x 9 mm (8.74 x 6.00 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-evo-8hd.jpg,,,3.15 MP,,Android 4.2 (Jelly Bean),,4GB 1GB RAM,,,
HSDPA 850 / 1900 / 2100 - 6032A,About 360 EUR,microUSB 2.0,,,Micro-SIM,GSM / HSPA,117.4 g (4.16 oz),,"FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 2000 mAh, non-removable",HSPA 42.2/11.5 Mbps,,,,,"Accelerometer, proximity, compass",,,,1.3 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,720p@30fps,,,"2013, September. Released 2014, June",,No,Yes,,Up to 24 h,"4.0, A2DP","Slate, Soft Gold/Matte, Soft Gold/Brushed, Pink Gold/Brushed",,Up to 20 h (2G) / Up to 10 h (3G),"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Up to 720 h (2G) / Up to 360 h (3G),,No,alcatel Idol Alpha,,"4.7 inches, 60.9 cm2(~66.3% screen-to-body ratio)",,138 x 66.6 x 7.5 mm (5.43 x 2.62 x 0.30 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-alpha-new.jpg,,,"13 MP, AF",,Android 4.2 (Jelly Bean),"Asahi Dragontrail Glass, oleophobic coating",16GB 1GB RAM,,"LED flash, panorama, HDR",HSDPA 900 / 2100
Stylus,About 370 EUR,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,177.6 g (6.24 oz),,"Stereo FM radio, RDS",Mediatek MT6589 (28 nm),Endurance rating 55h,"Li-Ion 3400 mAh, non-removable",HSPA 42.2/11.5 Mbps,,"Contrast ratio: 975:1 (nominal), 2.272 (sunlight)",,,"Accelerometer, gyro (optional), proximity",,,,2 MP,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,720p,,,"2013, September. Released 2014, January",,No,Yes,,,"4.0, A2DP","Black, White",,Up to 20 h (2G) / Up to 18 h (3G),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",GSM 850 / 900 / 1800 / 1900,Photo/Video,,,"1080p@30fps, stereo sound rec.",,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Up to 600 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel Hero,,"6.0 inches, 99.2 cm2(~77.7% screen-to-body ratio)",,158.5 x 80.6 x 8.5 mm (6.24 x 3.17 x 0.33 in),"GPS, GLONASS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-hero-new.jpg,,Noise -77.7dB / Crosstalk -75.6dB,"13 MP, AF",,Android 4.2.2 (Jelly Bean),Oleophobic coating,"8GB (single SIM)/ 16GB (dual SIM), 2GB RAM",,"LED flash, panorama",HSDPA 900 / 2100
"1, 2, 4, 5, 17 - 6034Y",About 160 EUR,microUSB 2.0,0.48 W/kg (head)     1.00 W/kg (body),,Micro-SIM,GSM / HSPA / LTE,110 g (3.88 oz),,"Stereo FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 2000 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,1.3 MP,Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531u,,,,"2013, August. Released 2013, December",,No,Yes,,,"4.0, A2DP","Slate, Fresh Rose, Cherry Red",,Up to 6 h (2G) / Up to 8 h 30 min (3G),"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20 - 6034R",,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,"1, 7, 8 - 6034M",,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Up to 700 h (2G) / Up to 400 h (3G),,microSDHC (dedicated slot),alcatel Idol S,,"4.7 inches, 60.9 cm2(~68.3% screen-to-body ratio)",,133.5 x 66.8 x 7.4 mm (5.26 x 2.63 x 0.29 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-s-new.jpg,,,"8 MP, AF","6034R, 6034Y, 6034M",Android 4.2 (Jelly Bean),"Asahi Dragontrail Glass, oleophobic coating",4GB 1GB RAM,,"LED flash, panorama, HDR",HSDPA 850 / 900 / 2100
HSDPA 900 / 2100 - 6012D/6012X,About 130 EUR,microUSB 2.0,0.94 W/kg (head)     1.29 W/kg (body),,"Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,96 g (3.39 oz),,"Stereo FM radio, RDS",Mediatek MT6572 (28 nm),,"Li-Ion 1700 mAh, non-removable",HSPA 21.1/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,Yes,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,"2013, August. Released 2013, December",,No,Yes,,,"4.0, A2DP","Cranberry Pink, Silver, Slate",,Up to 20 h (2G) / Up to 9 h (3G),"480 x 854 pixels, 16:9 ratio (~228 ppi density)",GSM 850 / 900 / 1800 / 1900 - all versions,,,,720p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,HSDPA 850 / 1700 / 1900 / 2100 - 6012W,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Up to 540 h (2G) / Up to 450 h (3G),,microSDHC (dedicated slot),alcatel Idol Mini,,"4.3 inches, 51.0 cm2(~64.7% screen-to-body ratio)",,127.1 x 62 x 7.9 mm (5.00 x 2.44 x 0.31 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-mini-new.jpg,,,"5 MP, AF","6012D, 6012E, 6012X, 6012A, 6012W",Android 4.2 (Jelly Bean),Oleophobic coating,"4GB 512MB RAM (SS), 8GB 512MB RAM (DS)",,"LED flash, panorama",HSDPA 850 / 1900 / 2100 - 6012A/6012E
No,About 130 EUR,microUSB 2.0,0.07 W/kg (head),No,No,No cellular connectivity,340 g (11.99 oz),No,No,Rochip RK2918,,"Li-Ion 3000 mAh, non-removable",,,,,,Accelerometer,,,,,1.0 GHz Cortex-A8,Vivante GC800,,,,"2013, Q2. Released 2013, Q2",,No,Yes,,,No,Black/Silver,,,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDHC (dedicated slot),alcatel One Touch T10,,"7.0 inches, 139.5 cm2(~61.8% screen-to-body ratio)",,192 x 117.6 x 11.3 mm (7.56 x 4.63 x 0.44 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-t10.jpg,,,VGA,,Android 4.0.3 (Ice Cream Sandwich),,"4GB (2.1GB user available), 1GB RAM",,,
"7, 20 - 7030R",,microUSB 2.0,,,Micro-SIM,GSM / HSPA / LTE,-,,"FM radio, RDS",,,"Li-Ion 2200 mAh, removable","HSPA, LTE Cat3 100/50 Mbps",,,,,"Accelerometer, proximity, compass",,,,2 MP,Dual-core 1.2 GHz,,720p,,,"2013, February. Released 2013, July",,No,Yes,,,"4.0, A2DP","Bluish Black, Cloudy, Metallic Red, White",,Up to 9 h (2G) / Up to 5 h (3G),"480 x 854 pixels, 16:9 ratio (~211 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 2, 4, 5, 17 - 7030Y",,720p,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 360 h,,microSDHC (dedicated slot),alcatel One Touch Snap LTE,,"4.65 inches, 59.6 cm2(~63.9% screen-to-body ratio)",,134 x 69.6 x 10.9 mm (5.28 x 2.74 x 0.43 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-snap-lte.jpg,,,"8 MP, AF",,Android 4.1 (Jelly Bean),"Scratch-resistant glass, oleophobic coating","4GB (2.4GB user available), 1GB RAM",,LED flash,HSDPA 900 / 2100
"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 4007D, 4007E",About 50 EUR,microUSB 2.0,1.16 W/kg (head)     1.11 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,118 g (4.16 oz),,"FM radio, RDS",,,"Li-Ion 1300 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,Accelerometer,,,,,1.0 GHz,,,,,"2013, August. Released 2013, August",,No,Yes,,,"4.0, A2DP","White, Night Sky",,Up to 13 h (2G) / Up to 7 h (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,480p,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,No,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 500 h (2G) / Up to 300 h (3G),,microSDHC (dedicated slot),alcatel One Touch Pixi,,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-pixi-new.jpg,,,2 MP,"4007D, 4007E",Android 2.3 (Gingerbread),,512MB 256MB RAM,,,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900,,microUSB 2.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,-,,"FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 1800 mAh, removable",HSPA 42.2/11.5 Mbps (Single SIM model),,,,,"Accelerometer, proximity, compass",,,,1.3 MP,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,720p,,,"2013, February. Released 2013, June",,No,Yes,,,"4.0, A2DP","Silver, Cloudy, White",,Up to 11 h (2G) / Up to 7 h (3G),"540 x 960 pixels, 16:9 ratio (~245 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,720p,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",Up to 440 h (2G) / Up to 340 h (3G),,microSDHC (dedicated slot),alcatel One Touch Snap,,"4.5 inches, 55.8 cm2(~63.9% screen-to-body ratio)",,130.3 x 67 x 9 mm (5.13 x 2.64 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-snap.jpg,,,"8 MP, AF",,Android 4.2 (Jelly Bean),"Scratch-resistant glass, oleophobic coating","4GB (2.4GB user available), 1GB RAM",,LED flash,HSDPA 900 / 2100
"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 6040D, 6040E",About 370 EUR,microUSB 2.0,0.26 W/kg (head)     0.58 W/kg (body),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,130 g (4.59 oz),,"FM radio, RDS",Mediatek MT6589 (28 nm),,"Li-Ion 2000 mAh, non-removable",HSPA 42.2/11.5 Mbps,,,,,"Accelerometer, proximity, compass",,,,2.1 MP,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,,,,"2013, February. Released 2013, July",,No,Yes,,Up to 36 h,"4.0, A2DP","Blue, Black, Red, Yellow",,Up to 11 h (2G) / Up to 7 h (3G),"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","GSM 850 / 900 / 1800 / 1900 - 6040, 6040A",,,,1080p@30fps,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,HSDPA 850 / 1900 / 2100 - OT-6040A/6040E,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Up to 440 h (2G) / Up to 340 h (3G),,microSDHC (dedicated slot),alcatel Idol X,,"5.0 inches, 68.9 cm2(~72.7% screen-to-body ratio)",,140.4 x 67.5 x 6.9 mm (5.53 x 2.66 x 0.27 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-idol-x-new.jpg,,,"13.1 MP, AF","6040D, 6040E, 6040, 6040A",Android 4.2.1 (Jelly Bean),Scratch-resistant glass,"8GB 2GB RAM, 16GB 2GB RAM",,LED flash,HSDPA 900 / 2100 - OT-6040/6040D
HSDPA 850 / 1900 / 2100,About 120 EUR,microUSB 2.0,1.45 W/kg (head)     1.30 W/kg (body),,Mini-SIM,GSM / HSPA,108 g (3.81 oz),,Stereo FM radio,Qualcomm MSM7227A Snapdragon S1,,"Li-Ion 1400 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity",,,,,1.0 GHz Cortex-A5,Adreno 200,,,,"2013, February. Released 2013, July",,No,Yes,,,3.0,"Mozilla Orange, Apple Green, Pure White",,Up to 6 h 40 min (2G) / Up to 3 h (3G),"320 x 480 pixels, 3:2 ratio (~165 ppi density)",GSM 850 / 900 / 1800 / 1900,,,MP3/AAC+/OGG playerMP4/H.264 playerPhoto viewerPredictive text input,480p@30fps,,,,alcatel,,Discontinued,"TFT, 256K colors",,,Yes,,,No,,Wi-Fi 802.11 b/g/n,Up to 280 h (2G) / Up to 220 h (3G),,"microSDHC (dedicated slot), 2 GB included",alcatel One Touch Fire,,"3.5 inches, 36.5 cm2(~50.9% screen-to-body ratio)",,115 x 62.3 x 12.2 mm (4.53 x 2.45 x 0.48 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-one-touch-fire1.jpg,,,3.15 MP,"4012A, 4012X",Firefox OS 1.0,,160MB 512MB ROM 256MB RAM,,,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 6010D,About 220 EUR,microUSB 2.0,0.84 W/kg (head)     1.24 W/kg (body),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",GSM / HSPA,119.5 (4.20 oz),,"FM radio, RDS",Mediatek MT6577 (40 nm),,"Li-Ion 1500 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"2013, February. Released 2013, March",,No,Yes,,,"4.0, A2DP","Black, White, Pink",,Up to 4 h 30 min (2G) / Up to 3 h 30 min (3G),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - 6010,,,,720p@30fps,,,,alcatel,,Discontinued,AMOLED,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA",Up to 300 h (2G) / Up to 280 h (3G),,microSDHC (dedicated slot),alcatel One Touch Star,,"4.0 inches, 45.5 cm2(~63.5% screen-to-body ratio)",,117.9 x 60.8 x 9.7 mm (4.64 x 2.39 x 0.38 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-star-6010-silver.jpg,,,"5 MP, AF","6010D, ONE TOUCH 6010D",Android 4.1 (Jelly Bean),"Corning Gorilla Glass, Oleophobic coating","4GB (2.4GB user available), 512MB RAM",,LED flash,HSDPA 900 / 2100
GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - 8000D,About 170 EUR,microUSB 2.0,1.39 W/kg (head)     1.13 W/kg (body),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",GSM / HSPA,163 g (5.75 oz),,"Stereo FM radio, RDS",Qualcomm MSM8225 Snapdragon S4 Play,,"Li-Ion 2500 mAh, removable",HSPA 7.2/5.76 Mbps,,,,,"Accelerometer, proximity, compass",,,,VGA,Dual-core 1.2 GHz Cortex-A5,Adreno 203,,,,"2013, February. Released 2013, May",,No,Yes,,,"4.0, A2DP","Flash Red, Flash Yellow, Black and Flash Blue",,Up to 9 h (2G) / Up to 8 h (3G),"480 x 800 pixels, 5:3 ratio (~187 ppi density)",GSM 850 / 900 / 1800 / 1900,,,Stylus,720p@24fps,,,,alcatel,,Discontinued,TFT,,,Yes,,,HSDPA 850 / 1900 / 2100,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",Up to 600 h (2G) / Up to 594 h (3G),,microSDHC (dedicated slot),alcatel One Touch Scribe Easy,,"5.0 inches, 71.2 cm2(~63.5% screen-to-body ratio)",,143 x 78.4 x 9.8 mm (5.63 x 3.09 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-scribe-easy1.jpg,,,"5 MP, AF","8000D, 8000E",Android 4.1.2 (Jelly Bean),Scratch-resistant glass,"4GB (2.4GB user available), 512MB RAM",,LED flash,HSDPA 900 / 2100
No,About 100 EUR,microUSB 2.0,,No,Single SIM or Dual SIM (dual stand-by),No cellular connectivity,390 g (13.76 oz),No,No,,,"Li-Ion, non-removable",,,,,,,,,,,1.0 GHz,,,,,"2013, January. Released 2013, January",,No,Yes,,,"2.0, A2DP","Twilight Blue, Black, Vermillion",,Up to 6 h,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,TFT,,,No,,,,,Wi-Fi 802.11 b/g/n,Up to 200 h,,microSDHC (dedicated slot),alcatel One Touch Evo 7,,"7.0 inches, 137.9 cm2(~56.8% screen-to-body ratio)",,191 x 127 x 11 mm (7.52 x 5.0 x 0.43 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-evo-7.jpg,,,VGA,,Android 4.0 (Ice Cream Sandwich),,4GB 1GB RAM,,,
,About 140 EUR,microUSB 2.0,,No,Single SIM or Dual SIM (dual stand-by),No cellular connectivity,350 g (12.35 oz),No,No,,,"Li-Ion, non-removable",,,,,,,,,,VGA,Dual-core 1.6 GHz,,,,,"2013, January. Released 2013, January",,No,Yes,,,"4.0, A2DP","Black, White",,Up to 6 h,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,No,,,,,Wi-Fi 802.11 b/g/n,Up to 200 h,,microSDHC (dedicated slot),alcatel One Touch Evo 7 HD,,"7.0 inches, 142.1 cm2(~60.1% screen-to-body ratio)",,197 x 120 x 10 mm (7.76 x 4.72 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-evo-7-hd-new.jpg,,,3 MP,,Android 4.1 (Jelly Bean),,4GB 1GB RAM,,,
,About 140 EUR,microUSB 2.0,,No,,No cellular connectivity,400 g (14.11 oz),No,No,,,"Li-Ion, non-removable",,,,,,,,,,VGA,Dual-core 1.6 GHz,,,,,"2013, January. Released 2013, June",,No,Yes,,,"2.1, A2DP",Black,,Up to 4 h,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",N/A,,,,Yes,,,,alcatel,,Discontinued,IPS LCD,,,Yes,,,,,Wi-Fi 802.11 b/g/n,Up to 125 h,,microSDHC (dedicated slot),alcatel One Touch Tab 8 HD,,"8.0 inches, 198.2 cm2(~63.7% screen-to-body ratio)",,202 x 154 x 9.5 mm (7.95 x 6.06 x 0.37 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-ot-tab-8-hd-new.jpg,,,2 MP,,Android 4.1 (Jelly Bean),,8GB 1GB RAM,,,
