Unnamed: 0,128GB 4GB RAM,1TB 12GB RAM,1TB 16GB RAM,1TB 24GB RAM,256GB 12GB RAM,256GB 4GB RAM,256GB 8GB RAM,2G bands,3.5mm jack,3G bands,4G bands,512GB 12GB RAM,512GB 16GB RAM,5G bands,Announced,Audio quality,Battery (new),Battery (old),Bluetooth,Brand,Browser,Build,CPU,Call records,Camera,Card slot,Charging,Chipset,Colors,Dimensions,Display,Dual,EDGE,Features,GPRS,GPU,Games,Infrared port,Internal,Java,Keyboard,Loudspeaker,Messaging,Model Image,Model Name,Models,Music play,NFC,OS,Performance,Phonebook,Positioning,Price,Protection,Quad,Radio,Resolution,SAR,SAR EU,SIM,Sensors,Single,Size,Speed,Stand-by,Status,Talk time,Technology,Triple,Type,USB,Video,WLAN,Weight,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,"HSDPA 850 / 900 / 1900 / 2100 - Europe, China","1, 3, 7, 38, 39, 40, 41 - China",,,,"2016, July. Released 2016, July",,,,"4.1, A2DP, LE",ZTE,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),,Mediatek MT6755 Helio P10 (28 nm),"Silver, Gold",150.9 x 75 x 8.9 mm (5.94 x 2.95 x 0.35 in),,,,"LED flash, panorama, HDR",,Mali-T860MP2,,,"32GB 3GB RAM, 64GB 3GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-n1.jpg,ZTE nubia N1,NX541J,Up to 70 h,No,"Android 6 (Marshmallow), nubia UI 4",,,"GPS, GLONASS, Beidou",About 230 EUR,Corning Gorilla Glass 3,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","13 MP, f/2.2","5.5 inches, 83.4 cm2(~73.7% screen-to-body ratio)","HSPA 42/5.76 Mbps, LTE Cat4 150/50 Mbps",Up to 480 h,Discontinued,Up to 25 h,GSM / CDMA / HSPA / EVDO / LTE,,"Li-Po 5000 mAh, non-removable","USB Type-C, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",190 g (6.70 oz),,,,,,,,,,,,,
24-bit/192kHz audio,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 38, 39, 40, 41",,,,"2016, June. Released 2016, June",,,,"4.1, A2DP, LE",ZTE,,,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),"18W wired, QC3",Qualcomm MSM8976 Snapdragon 652 (28 nm),"Silver, Gray, Gold",159.2 x 82.3 x 7.4 mm (6.27 x 3.24 x 0.29 in),,,,"Dual-LED dual-tone flash, panorama, HDR",,Adreno 510,,,64GB 4GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z11-max.jpg,ZTE nubia Z11 Max,"NX531J, NX523J_V1",,No,"Android 5.1.1 (Lollipop), nubia UI 4",,,"GPS, GLONASS",About 200 EUR,Corning Gorilla Glass 3,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","8 MP, f/2.4, 1/3.2"", 1.4µm","6.0 inches, 98.7 cm2(~75.3% screen-to-body ratio)","HSPA, LTE",,Discontinued,,GSM / CDMA / HSPA / EVDO / LTE,,"Li-Ion 4000 mAh, non-removable","USB Type-C, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",185 g (6.53 oz),,,,,,,,,,,,,
32-bit/192kHz audio,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A2017G, USA","1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41 - A2017G",,,,"2016, May. Released 2016, June",,,Endurance rating 70h,"4.2, A2DP",ZTE,,"Glass front (Gorilla Glass 4), aluminum back, aluminum frame",Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),,Photo/Video,microSDXC (uses shared SIM slot),"18W wired, QC3",Qualcomm MSM8996 Snapdragon 820 (14 nm),"Ion Gold, Quartz Grey, Chromium Silver",151.7 x 75 x 7.9 mm (5.97 x 2.95 x 0.31 in),,,,"Dual-LED dual-tone flash, HDR, panorama",,Adreno 530,,,64GB 4GB RAM,,,Voice 66dB / Noise 72dB / Ring 84dB,,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-7.jpg,ZTE Axon 7,"A2017G, A2017U, A2017, A2017X",,Yes,"Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo), MiFavor 5.2",Basemark OS II 2.0: 2346Basemark X: 32243,,"GPS, GLONASS/ BDS (region dependent)",About 240 EUR,Corning Gorilla Glass 4,,No,"1440 x 2560 pixels, 16:9 ratio (~538 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","8 MP, f/2.2, 1/4.0"", 1.12µm","5.5 inches, 82.2 cm2(~72.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",Up to 360 h (3G),Discontinued,Up to 16 h (3G),GSM / CDMA / HSPA / LTE,,"Li-Ion 3250 mAh, non-removable",USB Type-C 3.0,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",175 g (6.17 oz),,,,,,,,,,,,,
24-bit/192kHz audio,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 40",,,,"2016, June. Released 2016, July",,,Endurance rating 76h,"4.1, A2DP, LE",ZTE,,,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),,Photo/Video,microSDXC (uses shared SIM slot),"18W wired, QC3",Qualcomm MSM8996 Snapdragon 820 (14 nm),"Silver, Gray, Gold, Rose Gold",151.8 x 72.3 x 7.5 mm (5.98 x 2.85 x 0.30 in),"Contrast ratio: 1196 (nominal), 3.466 (sunlight)",,,"Dual-LED dual-tone flash, panorama, HDR",,Adreno 530,,Yes,"64GB 4GB RAM, 64GB 6GB RAM",,,Voice 64dB / Noise 70dB / Ring 71dB,,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z11-.jpg,ZTE nubia Z11,,,Yes,"Android 6.1 (Marshmallow), nubia UI 4",Basemark OS II 2.0: 1790Basemark X: 23899,,"GPS, GLONASS",About 280 EUR,Corning Gorilla Glass 3,,No,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","8 MP, f/2.4, 1/3.2"", 1.4µm","5.5 inches, 82.6 cm2(~75.2% screen-to-body ratio)","HSPA, LTE",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 3000 mAh, non-removable","USB Type-C, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA",162 g (5.71 oz),,,,,,,,,,,,,
"2, 4, 7, 12, 28 - A110",,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 900 / 2100,"1, 3, 7, 8, 20 - A110",,,,"2016, July",,,,2.1,ZTE,,,Quad-core 1.3 GHz Cortex-A7,,,microSDHC,,Spreadtrum SC7731G,Black,125 x 64.4 x 10.4 mm (4.92 x 2.54 x 0.41 in),,,,LED flash,,Mali-400MP2,,,"4GB 512MB RAM, 8GB 1GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-l110.jpg,ZTE Blade L110 (A110),BLADE L110,,No,Android 5.1 (Lollipop),,,GPS,About 70 EUR,,,FM radio,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,Micro-SIM,Accelerometer,2 MP,"4.0 inches, 45.5 cm2(~56.6% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2016, July",,GSM / UMTS / HSPA / LTE,,"Li-Ion 1400 mAh, removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",110 g (3.88 oz),,,,,,,,,,,,,
24-bit/192kHz audio,,,,,,,,GSM 900 / 1800,Yes,HSDPA,LTE,,,,"2016, May. Released 2016, May",,,,"4.1, A2DP, LE",ZTE,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),,,microSDXC (dedicated slot),"18W wired, QC2",Qualcomm MSM8952 Snapdragon 617 (28 nm),Blue,164.1 x 83.8 x 8.9 mm (6.46 x 3.30 x 0.35 in),,"13 MP, AF2 MP, (depth)",Yes,"LED flash, HDR, panorama",Yes,Adreno 405,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-grand-x-max-2.jpg,ZTE Grand X Max 2,Z988,,No,Android 6.0 (Marshmallow),,,GPS,About 210 EUR,,,No,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,,Nano-SIM,"Accelerometer, proximity, compass",5 MP,"6.0 inches, 99.2 cm2(~72.2% screen-to-body ratio)","HSPA, LTE",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 3400 mAh, non-removable",USB Type-C,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",-,,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 38, 39, 40, 41",,,,"2016, April. Released 2016, May",,,,"4.1, A2DP, LE",ZTE,,,Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),,Qualcomm MSM8952 Snapdragon 617 (28 nm),"Black, White, Gold",141.4 x 70 x 8 mm (5.57 x 2.76 x 0.31 in),,,,"LED flash, panorama, HDR",,Adreno 405,,,64GB 3GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z11-mini.jpg,ZTE nubia Z11 mini,NX529J,,No,"Android 5.1.1 (Lollipop), nubia UI 3.9",,,"GPS, GLONASS",About 160 EUR,,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","8 MP, f/2.4, 1/3.2"", 1.4µm","5.0 inches, 68.9 cm2(~69.6% screen-to-body ratio)","HSPA, LTE",,Discontinued,,GSM / CDMA / HSPA / LTE,,"Li-Ion 2800 mAh, non-removable","USB Type-C, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",138 g (4.87 oz),,,,,,,,,,,,,
HSDPA 900 / 2100,,,,,,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,,,,,"2016, April. Released 2016, April",,,,"4.0, A2DP, LE",ZTE,,,Quad-core 1.3 GHz Cortex-A7,,,microSDHC (dedicated slot),,Mediatek MT6580 (28 nm),"Gray, White",143 x 72 x 8.3 mm (5.63 x 2.83 x 0.33 in),,,,LED flash,,Mali-400MP2,,,8GB 1GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-l5-plus-r.jpg,ZTE Blade L5 Plus,T520,,No,Android 5.1 (Lollipop),,,GPS,About 90 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Dual SIM,"Accelerometer, proximity",2 MP,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,,Discontinued,,GSM / HSPA,,"Li-Ion 2150 mAh, removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",160 g (5.64 oz),,,,,,,,,,,,,
eMMC 4.5,,,,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 2100,"1, 3, 7, 28",,,,"2016, January. Released 2016, February",,,,"4.1, A2DP, LE",ZTE,,,Octa-core 1.3 GHz Cortex-A53Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microSDHC (uses shared SIM slot) - mediatek modelmicroSDXC (uses shared SIM slot) - snapdragon model,,Mediatek MT6753Qualcomm MSM8939 Snapdragon 615 (28 nm),Silver,155.3 x 77.2 x 8.6 mm (6.11 x 3.04 x 0.34 in),,,,"LED flash, HDR, panorama",,Mali-T720MP3Adreno 405,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v-plus.jpg,ZTE Blade V Plus,"N939Sc, V580, Blade V580",,No,Android 5.1.1 (Lollipop),,,GPS,About 200 EUR,,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",5 MP,"5.5 inches, 83.4 cm2(~69.6% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Up to 220 h,Discontinued,Up to 9 h,GSM / HSPA / LTE,,"Li-Ion 3000 mAh, non-removable","microUSB 2.0, OTG",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",164 g (5.78 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 900 / 1900 / 2100,"1, 3, 7, 8, 20, 38, 40",,,,"2016, August. Released 2016, September",,,,"4.1, A2DP, LE",ZTE,,,Quad-core 1.3 GHz Cortex-A53,,,microSDXC (dedicated slot),Reverse wired,Mediatek MT6735 (28 nm),"Shining Silver, Honor Gold, Space Grey",145 x 71 x 8.2 mm (5.71 x 2.80 x 0.32 in),,,,"LED flash, HDR, panorama",,Mali-T720MP2,,,"8GB 1GB RAM, 16GB 2GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-a610.jpg,ZTE Blade A610,"BLADE A610, BA610T",,No,Android 6.0 (Marshmallow),,,GPS,About 130 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Nano-SIM + Nano-SIM,"Accelerometer, proximity",5 MP,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 4000 mAh, non-removable","microUSB 2.0, OTG",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",-,,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 900 / 2100,"1, 3, 7, 8, 20",,,,"2016, July. Released 2016, July",,,,"4.1, A2DP, LE",ZTE,,,Quad-core 1.4 GHz Cortex-A53,,,microSDXC,,Qualcomm MSM8917 Snapdragon 425 (28 nm),"White, Black, Pink",164.3 x 71.6 x 7.6 mm (6.47 x 2.82 x 0.30 in),,,,"LED flash, HDR, panorama",,Adreno 308,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-a512.jpg,ZTE Blade A512,BLADE A512,,No,Android 6.0 (Marshmallow),,,GPS,About 120 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,,Dual SIM,"Accelerometer, proximity",5 MP,"5.2 inches, 74.5 cm2(~63.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 2540 mAh, non-removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",130 g (4.59 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 2100,"1, 3, 7, 8, 20, 38, 40",,,,"2016, Q1. Released 2016, Q1",,,,"4.0, A2DP",ZTE,,,Quad-core 1.0 GHz Cortex-A53,,,microSDHC (dedicated slot),Reverse wired,Mediatek MT6735P (28 nm),"Ion Gold, Black, White",145 x 71.5 x 8.9 mm (5.71 x 2.81 x 0.35 in),,,,"LED flash, HDR, panorama",,Mali-T720MP2,,,8GB 1GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-a452.jpg,ZTE Blade A452,Blade A452,,No,Android 5.1 (Lollipop),,,GPS,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,"Dual SIM (Micro-SIM, dual stand-by)","Accelerometer, proximity",5 MP,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 4000 mAh, non-removable","microUSB 2.0, OTG",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",159 g (5.61 oz),,,,,,,,,,,,,
"2, 4, 7, 12, 28",,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 1900 / 2100,"1, 3, 7, 8, 20",,,,"2016, February",,,,"4.0, A2DP",ZTE,,,Octa-core 1.3 GHz Cortex-A53,,,microSDXC (uses shared SIM slot),,Mediatek MT6753 (28 nm),"Gold, Gray",146 x 72.5 x 7.5 mm (5.75 x 2.85 x 0.30 in),,,,"Dual-LED dual-tone flash, HDR, panorama",,Mali-T720MP3,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v7.jpg,ZTE Blade V7,,,No,Android 6.0 (Marshmallow),,,GPS,About 150 EUR,,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,,Hybrid Dual SIM,"Accelerometer, gyro, proximity, compass",5 MP,"5.2 inches, 74.5 cm2(~70.4% screen-to-body ratio)","HSPA, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 2500 mAh, non-removable","microUSB 2.0, OTG",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",136 g (4.80 oz),,,,,,,,,,,,,
"1, 3, 5, 7, 8, 20",,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40",,,,"2016, April",,,,"4.0, A2DP",ZTE,,,Quad-core 1.3 GHz Cortex-A53,,,microSDXC (uses shared SIM slot),,Mediatek MT6735 (28 nm),"Silver, Gray, Gold",154 x 79 x 6.9 mm (6.06 x 3.11 x 0.27 in),,,,"LED flash, HDR, panorama",,Mali-T720MP2,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a910.jpg,ZTE Blade A910,"BLADE A910, BA910",,No,Android 6.0 (Marshmallow),,,GPS,About 140 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",8 MP,"5.5 inches, 83.4 cm2(~68.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2016, April",,GSM / HSPA / LTE,,"Li-Ion 2540 mAh, non-removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",135 g (4.76 oz),,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 38, 39, 40, 41",,,,"2016, June. Released 2016, June",,,,"4.0, A2DP",ZTE,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),,Mediatek MT6750 (28 nm),Silver,143.8 x 70.2 x 7.9 mm (5.66 x 2.76 x 0.31 in),,,,LED flash,,Mali-T860MP2,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v7-lite.jpg,ZTE Blade A2,BV0720,,No,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow), MiFavor 3.2",,,GPS,About 130 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",5 MP,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,Discontinued,,GSM / CDMA / HSPA / CDMA2000 / LTE,,"Li-Ion 2500 mAh, non-removable","microUSB 2.0, OTG",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",135 g (4.76 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 40",,,,"2016, February",,,,"4.0, A2DP",ZTE,,,Quad-core 1.0 GHz Cortex-A53,,,microSDXC (uses shared SIM slot),,Mediatek MT6735P (28 nm),Silver,143.8 x 70.2 x 7.9 mm (5.66 x 2.76 x 0.31 in),,,,LED flash,,Mali-T720MP2,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v7-lite.jpg,ZTE Blade V7 Lite,V0720,,No,Android 6.0 (Marshmallow),,,GPS,About 120 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",8 MP,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)","HSPA, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 2500 mAh, non-removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",135 g (4.76 oz),,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA,LTE,,,,"2015, December. Released 2015, December",,,,"4.0, A2DP, LE",ZTE,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),"18W wired, QC2",Qualcomm MSM8952 Snapdragon 617 (28 nm),Gold,160 x 80 x 7.5 mm (6.30 x 3.15 x 0.30 in),,,Yes,"LED flash, HDR, panorama",Yes,Adreno 405,,,32GB 3GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-max.jpg,ZTE Axon Max,,,No,Android 5.1 (Lollipop),,,"GPS, GLONASS/ BDS (region dependent)",,,,No,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","13 MP, f/2.2","6.0 inches, 99.2 cm2(~77.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Po 4140 mAh, non-removable",USB Type-C,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",188 g (6.63 oz),,,,,,,,,,,,,
32-bit/192kHz audio,,,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 38, 39, 40, 41",,,,"2016, January. Released 2016, January",,,,"4.0, A2DP, LE",ZTE,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microSDXC (uses shared SIM slot),,Qualcomm MSM8939 Snapdragon 615 (28 nm),"White, Rose Gold",148.2 x 72.5 x 6.8 mm (5.83 x 2.85 x 0.27 in),,,,"LED flash, panorama, HDR",,Adreno 405,,,64GB 3GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-prague-s1.jpg,ZTE nubia Prague S,,,No,"Android 5.2 (Lollipop), nubia UI 3",,,"GPS, GLONASS",About 250 EUR,,,FM radio,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,,Nano-SIM + Micro-SIM,"Accelerometer, gyro, proximity, compass","8 MP, f/2.4","5.2 inches, 74.5 cm2(~69.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 2200 mAh, non-removable","microUSB 2.0, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",135 g (4.76 oz),,,,,,,,,,,,,
eMMC 4.5,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 1900 / 2100,"2, 4, 5, 12",,,,"2016, January. Released 2016, January",,,,"4.1, A2DP",ZTE,,,Quad-core 1.3 GHz Cortex-A7,,,microSDXC (dedicated slot),10W wired,Qualcomm MSM8909 Snapdragon 210 (28 nm),Black,154.2 x 76 x 9.4 mm (6.07 x 2.99 x 0.37 in),,,,LED flash,,Adreno 304,,,16GB 2GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-grand-x-3.jpg,ZTE Grand X 3,Z959,,No,Android 5.1.1 (Lollipop),,,GPS,About 120 EUR,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Micro-SIM,"Accelerometer, proximity",2 MP,"5.5 inches, 83.4 cm2(~71.2% screen-to-body ratio)","HSPA, LTE Cat4 150/50 Mbps",,Discontinued,,GSM / HSPA / LTE,,"Li-Ion 3080 mAh, removable",USB Type-C,,"Wi-Fi 802.11 b/g/n, hotspot",170.1 g (6.00 oz),,,,,,,,,,,,,
eMMC 4.5,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 1700(AWS) / 1900,"2, 4, 12",,,,"2016, January. Released 2016, January",,,,"4.0, A2DP",ZTE,,,Quad-core 1.1 GHz Cortex-A7,,,microSDHC (dedicated slot),,Qualcomm MSM8909 Snapdragon 210 (28 nm),Black,144.8 x 72.9 x 10.9 mm (5.70 x 2.87 x 0.43 in),,,,LED flash,,Adreno 304,,,8GB 1GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-avid-plus1.jpg,ZTE Avid Plus,Z828,,No,Android 5.1 (Lollipop),,,GPS,About 110 EUR,Asahi Dragontrail Glass,,FM radio,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,Nano-SIM,Accelerometer,2 MP,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)","HSPA, LTE Cat4 150/50 Mbps",Up to 350 h (3G),Discontinued,Up to 8 h (3G),GSM / HSPA / LTE,,"Li-Ion 2300 mAh, removable",microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",164.4 g (5.78 oz),,,,,,,,,,,,,
