,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
No,,,,,Yes,,,"4.0 inches, 45.5 cm2(~61.7% screen-to-body ratio)",HSDPA 900 / 2100,,,LED flash,,Discontinued,No,,,HTC,Super LCD,"4.0, A2DP, aptX","Li-Ion 1650 mAh, removable",,,HTC Desire U,About 150 EUR,"2013, January. Released 2013, June","Accelerometer, proximity",,Optional,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",,,4GB 512MB RAM,1.31 W/kg (head)     0.96 W/kg (body),,118.5 x 62.3 x 9.3 mm (4.67 x 2.45 x 0.37 in),w480p@30fps,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA,"White, Black, Orange",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-u-t327w.jpg,No,,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,Android 4.0 (Ice Cream Sandwich),"Dual SIM (Mini-SIM, dual stand-by)",,,114 g (4.02 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",1.0 GHz,,,,,,,,,Yes
GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 - China version,,,,,Yes,,,"4.3 inches, 52.6 cm2(~61.5% screen-to-body ratio)",HSDPA 900 / 2100,,,LED flash,,Discontinued,No,,,HTC,Super LCD2,"4.0, A2DP, aptX",Removable Li-Ion 1800 mAh battery,,MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dialPredictive text input,HTC Desire 400 dual sim,About 240 EUR,"2012, December. Released 2012, December","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,,,4GB 1GB RAM,,,128 x 66.9 x 8.9 mm (5.04 x 2.63 x 0.35 in),720p,"5 MP, AF",No,microSDHC (dedicated slot),,,,,HSPA 14.4/5.76 Mbps,"Black, White, Blue",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-su.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android OS (Jelly Bean), Sense UI","Dual SIM (Mini-SIM, dual stand-by)",,,119 g (4.20 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.0 GHz,,Beats Audio,,,,,,,Yes
HSDPA 850 / 900 / 1900 / 2100,,Contrast ratio: 1104:1 (nominal) / 1.873:1 (sunlight),Corning Gorilla Glass 2,,Yes,,,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",HSDPA 850 / 2100,LTE (market dependent),Voice 69dB / Noise 70dB / Ring 77dB,"LED flash, HDR",,Discontinued,"Stereo FM radio, RDS",Photo/Video,Qualcomm APQ8064 Snapdragon 600,HTC,Super LCD3,"4.0, A2DP, aptX","Li-Po 2020 mAh, non-removable",,,HTC Butterfly,About 330 EUR,"2012, December. Released 2013, January","Accelerometer, gyro, proximity, compass",,Yes (Market dependent),microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Adreno 320,,"16GB (11GB user available), 2GB RAM",0.97 W/kg (head)     0.79 W/kg (body),,143 x 70.5 x 9.1 mm (5.63 x 2.78 x 0.36 in),"1080p@30fps, stereo sound rec.","8 MP, AF",,microSDHC (dedicated slot),,Endurance rating 45h,,,"HSPA, LTE Cat3 100/50 Mbps",Black,Basemark X: 5642,,GSM / HSPA / LTE,,,,Noise -82.5dB / Crosstalk -80.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-bitterfly.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.1.1 (Jelly Bean), upgradable to 4.4.2 (KitKat), Sense UI 5",Micro-SIM,,,140 g (4.94 oz),2.1 MP,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Quad-core 1.5 GHz Krait,,,,,,1080p@30fps,,,Yes
GSM 850 / 900 / 1800 / 1900,,,Corning Gorilla Glass 2,"HTC6435LVW 4G, HTC6435LVW",Yes,Up to 12 h 40 min,,"5.0 inches, 68.9 cm2(~69.3% screen-to-body ratio)",CDMA2000 1xEV-DO,13 - Verizon,,"LED flash, HDR",,Discontinued,No,,Qualcomm APQ8064 Snapdragon S4 Pro,HTC,Super LCD3,"4.0, A2DP, aptX","Li-Ion 2020 mAh, non-removable",,,HTC DROID DNA,About 280 EUR,"2012, November. Released 2012, November","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot",Adreno 320,,"16GB (11GB user available), 2GB RAM",0.50 W/kg (head)     0.66 W/kg (body),,141 x 70.5 x 9.7 mm (5.55 x 2.78 x 0.38 in),"1080p@30fps, stereo sound rec.","8 MP, AF",HSDPA 850 / 900 / 1900 / 2100,No,,Endurance rating 49h,,,"HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",Black,,,GSM / CDMA / HSPA / EVDO / LTE,,,,Noise -83.1dB / Crosstalk -83.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-droid-dna-new.jpg,"GPS, GLONASS",,,Up to 353 h,CDMA 800 / 1900,,"Android 4.1 (Jelly Bean), upgradable to 4.2 (Jelly Bean), Sense UI 4+",Micro-SIM,,,141.7 g (4.97 oz),2.1 MP,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Quad-core 1.5 GHz Krait,,,,,,1080p@30fps,,,Yes
25 - Sprint,,,Corning Gorilla Glass 2,,Yes,,,"4.3 inches, 52.6 cm2(~61.5% screen-to-body ratio)",CDMA2000 1xEV-DO,"2, 4, 12 - Boost Mobile",,LED flash,,Discontinued,No,,,HTC,Super LCD2,"4.0, A2DP, aptX","Li-Ion 1800 mAh, removable",,,HTC One SV CDMA,About 180 EUR,"2012, November. Released 2012, December","Accelerometer, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,,8GB 1GB RAM,,,128 x 66.9 x 9.2 mm (5.04 x 2.63 x 0.36 in),1080p@30fps,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","Black, White",,,CDMA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-sv.jpg,"GPS, GLONASS",,,,CDMA 800 / 1700 / 1900 / 2100,,"Android 4.0.4 (Ice Cream Sandwich), Sense UI",Micro-SIM,,,122 g (4.30 oz),1.6 MP,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.2 GHz,,,,,,720p@30fps,,,Yes
HSDPA 850 / 900 / 1900 / 2100 - Asia,,,Corning Gorilla Glass 2,,Yes,,,"4.3 inches, 52.6 cm2(~61.5% screen-to-body ratio)",HSDPA 900 / 1900 / 2100 - EU,"3, 7, 20 - EU",,LED flash,,Discontinued,FM radio,,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,Super LCD2,"4.0, A2DP, aptX","Li-Ion 1800 mAh, removable",,,HTC One SV,About 200 EUR,"2012, November. Released 2013, January","Accelerometer, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Adreno 305,,8GB 1GB RAM,0.61 W/kg (head)     0.93 W/kg (body),,128 x 66.9 x 9.2 mm (5.04 x 2.63 x 0.36 in),1080p@30fps,"5 MP, AF","3, 7 - Asia",microSDHC (dedicated slot),,Endurance rating 38h,,,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","Black, White",,,GSM / HSPA / LTE,,,,Noise -82.3dB / Crosstalk -81.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-sv.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean), Sense UI",Micro-SIM,,,122 g (4.30 oz),1.6 MP,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.2 GHz Krait,,Beats Audio,,,,720p@30fps,,,Yes
No,,,,,Yes,,,"4.3 inches, 52.6 cm2(~59.8% screen-to-body ratio)",HSDPA 900 / 2100,,,LED flash,,Discontinued,FM radio,,Qualcomm MSM8225 Snapdragon S4 Play,HTC,Super LCD2,"4.0, A2DP","Li-Ion 1620 mAh, removable",,,HTC Desire SV,About 270 EUR,"2012, November. Released 2012, November","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 203,,4GB 768MB RAM,0.64 W/kg (head)     0.69 W/kg (body),,129.7 x 67.9 x 10.7 mm (5.11 x 2.67 x 0.42 in),480p@30fps,"8 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA,"Radical Yellow, Stealth Black",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-sv.jpg,GPS,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.0.4 (Ice Cream Sandwich), Sense UI",Dual SIM (Micro-SIM),,,131 g (4.62 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.0 GHz Cortex-A5,,Dropbox (25 GB cloud storage)MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerPhoto viewer/editor,,,,,,,Yes
eMMC 4.5,,,,,Yes,,,"4.5 inches, 55.8 cm2(~61.9% screen-to-body ratio)",HSDPA 850 / 1900,"4, 17",,"LED flash, HDR",,Discontinued,FM radio,,Qualcomm MSM8930 Snapdragon 400 (28 nm),HTC,Super LCD2,"4.0, A2DP, aptX","Li-Ion 1800 mAh, non-removable",,,HTC One VX,About 290 EUR,"2012, October. Released 2012, November","Accelerometer, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Adreno 305,,8GB 1GB RAM,1.16 W/kg (head)     1.23 W/kg (body),,133.5 x 67.6 x 9.2 mm (5.26 x 2.66 x 0.36 in),1080p@30fps,"5 MP, AF",DivX/XviD/MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV/FLAC playerDocument viewer,microSDHC (dedicated slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","White, Black, Gray",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-vx.jpg,GPS,,,,GSM 850 / 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), Sense UI 4",Micro-SIM,,,124.7 g (4.37 oz),VGA,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Dual-core 1.2 GHz Krait,,,,,,,,,Yes
HSDPA 850 / 1900 / 2100 - for AT&T,,Contrast ratio: 1521 (nominal),Corning Gorilla Glass,,Yes,Up to 12 h 45 min,,"4.7 inches, 60.9 cm2(~64.8% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"4, 17 - AT&T",Voice 64dB / Noise 65dB / Ring 74dB,"LED flash, HDR",,Discontinued,"Stereo FM radio, RDS",Photo/Video,NVIDIA Tegra 3 AP37,HTC,Super LCD2,"4.0, A2DP, aptX",Non-removable Li-Ion 2100 mAh battery,,,HTC One X+,About 220 EUR,"2012, October. Released 2012, November","Accelerometer, gyro, proximity, compass",,Yes,microUSB 2.0 (MHL TV-out),,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",ULP GeForce 2,,"32GB 1GB RAM, 64GB 1GB RAM",0.86 W/kg (head)     0.72 W/kg (body),,134.4 x 69.9 x 8.9 mm (5.29 x 2.75 x 0.35 in),1080p@28ps,"8 MP, AF",Dropbox (25 GB cloud storage)DivX/XviD/MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dial/commandsPredictive text input,No,,Endurance rating 44h,,,"HSPA 21.1/5.76 Mbps - Global versionHSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps - AT&T version","Stealth Black, Polar White",,,GSM / HSPA / LTE,,,,Noise -82.4dB / Crosstalk -81.5dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-x-plus-ofic.jpg,"GPS, A-GPS, GLONASS",,,Up to 360 h,GSM 850 / 900 / 1800 / 1900,,"Android 4.1.1 (Jelly Bean), Sense UI 4",Micro-SIM,,,135 g (4.76 oz),1.6 MP,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Quad-core 1.7 GHz,,,,,,720p@30fps,,,Yes
CDMA 800 / 1900,,,Corning Gorilla Glass 2,,Yes,Up to 15 h,,"4.3 inches, 51.0 cm2(~58.2% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,13,,LED flash,,Discontinued,No,,,HTC,S-LCD2,"3.1, A2DP, EDR","Li-Ion 1800 mAh, non-removable",,,HTC Windows Phone 8X CDMA,About 200 EUR,"2012, November. Released 2012, November","Accelerometer, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band",,,16GB 1GB RAM,0.69 W/kg (head)     0.85 W/kg (body),,132.4 x 66.2 x 10.1 mm (5.21 x 2.61 x 0.40 in),1080p@30fps,"8 MP, AF",CDMA2000 1xEV-DO,No,,,,,"HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","California Blue, Graphite Black, Flame Red",,,GSM / CDMA / HSPA / EVDO / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-8x-cdma.jpg,"GPS, GLONASS",,,Up to 300 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 8,Micro-SIM,,,132.1 g (4.66 oz),2.1 MP,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Dual-core 1.5 GHz,,,,,,1080p@30fps,,,Yes
HSDPA 850 / 1900 / 2100 - AT&T,,Contrast ratio: 1020:1 (nominal) / 1.873:1 (sunlight),Corning Gorilla Glass 2,,Yes,,,"4.3 inches, 51.0 cm2(~58.2% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"2, 4, 5, 17 - AT&T",Voice 66dB / Noise 66dB / Ring 75dB,LED flash,,Discontinued,FM radio,Photo/Video,Qualcomm MSM8960 Snapdragon S4 Plus,HTC,S-LCD2,"3.1, A2DP, EDR/ 4.0, LE after Amber update",Non-removable Li-Ion 1800 mAh battery,,,HTC Windows Phone 8X,About 170 EUR,"2012, September. Released 2012, November","Accelerometer, proximity, compass",,Yes,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n, dual-band",Adreno 225,,16GB 1GB RAM,0.59 W/kg (head)     0.32 W/kg (body),,132.4 x 66.2 x 10.1 mm (5.21 x 2.61 x 0.40 in),1080p@30fps,"8 MP, AF",OneDrive (15 GB cloud storage)MP3/WAV/eAAC+/WMA playerMP4/H.264/WMV playerDocument viewer/editorVideo/photo editorVoice memo/command/dialPredictive text input,No,,Endurance rating 31h,,,"HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps (LTE for AT&T version)","California Blue, Graphite Black, Flame Red, Limelight Yellow",,,GSM / HSPA / LTE,,,,Noise -83.2dB / Crosstalk -74.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-8x.jpg,"GPS, A-GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Phone 8, upgradable to 8.1.1",Micro-SIM,,,130 g (4.59 oz),2.1 MP,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Dual-core 1.5 GHz Krait,,,,,,1080p@30fps,,,Yes
No,,Contrast ratio: 1318:1 (nominal),Corning Gorilla Glass,,Yes,,,"4.0 inches, 45.5 cm2(~60.0% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 66dB / Noise 65dB / Ring 75dB,LED flash,,Discontinued,FM radio,Photo/Video,Qualcomm  Snapdragon S4,HTC,S-LCD,"3.1, A2DP, EDR/ 4.0, LE after Amber update",Non-removable Li-Po 1700 mAh battery,,,HTC Windows Phone 8S,About 150 EUR,"2012, September. Released 2012, November","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,Adreno 305,,4GB 512MB RAM,0.97 W/kg (head)     1.08 W/kg (body),,120.5 x 63 x 10.3 mm (4.74 x 2.48 x 0.41 in),720p@30fps,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA,"Domino, Fiesta Red, Atlantic Blue, High-Rise Gray",,,GSM / HSPA,,,,Noise -79.7dB / Crosstalk -75.3dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-8s.jpg,"GPS, GLONASS",,,,GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Phone 8, upgradable to WP8 GDR3",Micro-SIM,,,113 g (3.99 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.0 GHz Krait,,OneDrive (15 GB cloud storage)MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264/H.263 playerDocument viewerVoice memo/dialPredictive text input,,,,,,,Yes
No,,,,,Yes,,,"4.3 inches, 52.6 cm2(~61.5% screen-to-body ratio)",TD-SCDMA,,,LED flash,,Discontinued,No,,,HTC,Super LCD2,"4.0, A2DP, aptX",Removable Li-Ion 1800 mAh battery,,,HTC One ST,About 200 EUR,"2012, August. Released 2012, Q4","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,,Yes,4GB 1GB RAM,,,128 x 66.9 x 9.3 mm (5.04 x 2.63 x 0.37 in),720p,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA,"Black, White, Red",,,GSM,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-st.jpg,"GPS, A-GPS",,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.0 (Ice Cream Sandwich), Sense UI",Mini-SIM,,,115 g (4.06 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.0 GHz,Yes,MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dialPredictive text input,,,,,,,Yes
GSM 900 / 1800 / 1900,,,,,Yes,,,"4.3 inches, 52.6 cm2(~61.5% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,No,,,HTC,Super LCD2,"4.0, A2DP, aptX",Removable Li-Ion 1800 mAh battery,,MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerDocument viewerVoice memo/dialPredictive text input,HTC One SC,About 220 EUR,"2012, August. Released 2012, Q4","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g/n,,,4GB 1GB RAM,,,128 x 66.9 x 8.9 mm (5.04 x 2.63 x 0.35 in),720p,"5 MP, AF",No,microSDHC (dedicated slot),,,,,EV-DO Rev.A 3.1 Mbps,"Black, White, Orange",,,GSM / CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-one-sc.jpg,"GPS, A-GPS",,,,CDMA 800 / 1900,,"Android 4.0 (Ice Cream Sandwich), Sense UI",Mini-SIM,,,116 g (4.09 oz),,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",Dual-core 1.0 GHz,,Beats Audio,,,,,,,Yes
HSDPA 850 / 2100,,Contrast ratio: 1275:1 (nominal) / 1.878:1 (sunlight),,,Yes,Up to 20 h (2G) / Up to 10 h (3G),,"4.0 inches, 45.5 cm2(~61.7% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 63dB / Noise 61dB / Ring 69dB,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM8225 Snapdragon S4 Play,HTC,Super LCD,"4.0, A2DP, aptX",Removable Li-Ion 1650 mAh battery,,Dropbox (25 GB cloud storage)MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerOrganizerDocument viewerPhoto viewer/editorVoice memo/dialPredictive text input,HTC Desire X,About 190 EUR,"2012, August. Released 2012, October","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Adreno 203,,4GB 768MB RAM,1.11 W/kg (head)     0.63 W/kg (body),,118.5 x 62.3 x 9.3 mm (4.67 x 2.45 x 0.37 in),480p@30fps,"5 MP, AF",No,microSDHC (dedicated slot),,Endurance rating 42h,,,HSPA 7.2/5.76 Mbps,"White/Black, Prussian Blue",,,GSM / HSPA,,,,Noise -81.0dB / Crosstalk -80.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-x-ofic.jpg,"GPS, A-GPS",,,Up to 833 h (2G) / Up to 750 h (3G),GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean), Sense UI 4","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,,114 g (4.02 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.0 GHz Cortex-A5,,Beats Audio,,,,,,,Yes
No,,,,,Yes,,,"4.0 inches, 45.5 cm2(~61.3% screen-to-body ratio)",HSDPA 1900 / 2100 / TD-SCDMA,,,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7227A Snapdragon S1,HTC,IPS LCD,"4.0, A2DP, aptX",Removable Li-Ion 1650 mAh battery,,,HTC Desire VT,About 200 EUR,"2012, June. Released 2012, August","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",Adreno 200,,4GB 512MB RAM,,,119.5 x 62.2 x 9.6 mm (4.70 x 2.45 x 0.38 in),720p,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA,"Black, White",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-vt.jpg,"GPS, A-GPS",,,,GSM 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), Sense UI 4",Mini-SIM,,,118 g (4.16 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",1.0 GHz Cortex-A5,,MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,,,,,,Yes
GSM 900 / 1800 / 1900 - SIM 2,,,,,Yes,,,"4.0 inches, 45.5 cm2(~61.2% screen-to-body ratio)",CDMA2000 1xEV-DO - SIM 1,,,LED flash,,Discontinued,No,,,HTC,TFT,"4.0, A2DP, aptX","Li-Ion 1650 mAh, removable",,,HTC Desire XC,About 180 EUR,"2013, July. Released 2013, July","Accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",,,4GB 768MB RAM,1.49 W/kg (head)     0.64 W/kg (body),,119.5 x 62.3 x 9.4 mm (4.70 x 2.45 x 0.37 in),480p@30fps,"5 MP, AF",No,microSDHC (dedicated slot),,,,,EV-DO Rev.A 3.1 Mbps,Black/White,,,GSM / CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-xc.jpg,GPS,,,,CDMA 800 / 1900 - SIM 1,,Android 4.0 (Ice Cream Sandwich),"Dual SIM (Mini-SIM, dual stand-by)",,,107 g (3.77 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual-core 1.0 GHz,,Beats Audio,,,,,,,Yes
CDMA 800 / 1900,,,,,Yes,,,"4.0 inches, 45.5 cm2(~61.2% screen-to-body ratio)",CDMA2000 1xEV-DO,,,LED flash,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7227A Snapdragon S1,HTC,IPS LCD,"3.0, A2DP",Removable Li-Ion 1650 mAh battery,,MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerOrganizerDocument viewerVoice memo/dialPredictive text input,HTC Desire VC,About 150 EUR,"2012, June. Released 2012, July","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",Adreno 200,,4GB 512MB RAM,,,119.5 x 62.3 x 9.5 mm (4.70 x 2.45 x 0.37 in),Yes,"5 MP, AF",No,microSDHC (dedicated slot),,,,,EV-DO Rev.A 3.1 Mbps,"Black, White",,,GSM / CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-vc.jpg,"GPS, A-GPS",,,,GSM 900 / 1800 / 1900,,"Android 4.0 (Ice Cream Sandwich), Sense UI 4","Dual SIM (Mini-SIM, dual stand-by)",,,119 g (4.20 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",1.0 GHz Cortex-A5,,Beats Audio,,,,,,,Yes
No,,,,,Yes,,,"4.0 inches, 45.5 cm2(~61.7% screen-to-body ratio)",HSDPA 900 / 2100 - SIM 1 only,,,LED flash,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7227A Snapdragon S1,HTC,TFT,"4.0, A2DP, aptX",Removable Li-Ion 1650 mAh battery,,,HTC Desire V,About 160 EUR,"2012, June. Released 2012, June","Accelerometer, proximity",,,microUSB 2.0,,"Wi-Fi 802.11 b/g/n, hotspot",Adreno 200,,4GB 512MB RAM,0.55 W/kg (head)     0.43 W/kg (body),,118.5 x 62.3 x 9.3 mm (4.67 x 2.45 x 0.37 in),w480p@21fps,"5 MP, AF",Beats Audio,microSDHC (dedicated slot),,,,,HSPA 7.2/5.76 Mbps,"Black, White",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-v.jpg,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Android 4.0 (Ice Cream Sandwich), Sense UI 4","Dual SIM (Mini-SIM, dual stand-by)",,,114 g (4.02 oz),,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",1.0 GHz Cortex-A5,,Dropbox (25 GB cloud storage)DivX/XviD/MP4/H.264/WMV playerMP3/eAAC+/WMA/WAV playerOrganizerDocument editorVoice memo/dialPredictive text input,,,,,,,Yes
